Subject,leftLang,leftAG,leftATL,leftIFG,leftIFGorb,leftMFG,leftpMTG,rightLang,rightAG,rightATL,rightIFG,rightIFGorb,rightMFG,rightpMTG
OCp001,0.28665639,0.280012762,0.361586395,0.21922881,0.210584992,0.312775252,0.264671298,0.47129162,0.557660454,0.46540249,0.482874722,0.490837629,0.456202556,0.462110526
OCp002,0.388750366,0.394953262,0.483665065,0.319581357,0.384786156,0.351259693,0.383636544,0.249736786,0.333038775,0.307146872,0.168447883,0.301849278,0.185104607,0.277555957
OCp003,0.254905613,0.210640253,0.338582797,0.186377289,0.177954985,0.28464995,0.225794343,0.415784515,0.499190024,0.459531734,0.376281483,0.444778809,0.379947038,0.433014631
OCp004,0.471140059,0.448243344,0.552379112,0.461955717,0.531645232,0.433672468,0.464347207,0.486664169,0.555675746,0.518035539,0.472593448,0.473121314,0.481860528,0.505830251
OCp005,0.479639458,0.42363975,0.571397358,0.480989906,0.484015085,0.481032125,0.469146709,0.194131298,0.239908302,0.189715475,0.198880317,0.252352081,0.137327465,0.172487555
OCp006,0.457388049,0.410134962,0.523884316,0.461688524,0.490253657,0.465483523,0.441821074,0.386796155,0.512204123,0.475148941,0.288021215,0.308944392,0.400146802,0.443086556
OCp007,0.459213398,0.423680211,0.528128781,0.443039186,0.485957731,0.423492931,0.444035565,0.435216567,0.520305082,0.46261382,0.443776763,0.421012167,0.41574343,0.437743458
OCp008,0.458821313,0.445495099,0.518841711,0.465816405,0.46821229,0.465204646,0.452673411,0.457536859,0.55767442,0.513102842,0.428215143,0.440186373,0.436878134,0.482163685
OCp009,0.479541049,0.463564003,0.543191842,0.478545997,0.493086807,0.45938422,0.474522626,0.492563391,0.600770632,0.501822882,0.48201888,0.499553255,0.481788333,0.497327217
OCp0010,0.389873597,0.401551922,0.477741546,0.364825737,0.268649776,0.366406902,0.412086376,0.462840754,0.584824379,0.513787602,0.438986979,0.418375023,0.433676327,0.49463639
OCp0011,0.309141586,0.18371727,0.29426368,0.428805573,0.412036092,0.412758398,0.223609811,0.475986968,0.57128097,0.521342496,0.447921939,0.487209001,0.431508618,0.488310596
OCp0012,0.358292619,0.333904386,0.372825774,0.432763731,0.375976935,0.376700247,0.313300454,0.456977369,0.5555039,0.453242796,0.453214033,0.467169521,0.432782918,0.46520648
OCp0014,0.412329857,0.450421937,0.475429628,0.40452565,0.350538308,0.368144094,0.419409411,0.436099725,0.547018895,0.429568793,0.416445548,0.443037307,0.45079398,0.448402214
OCp0016,0.383674461,0.352626919,0.430890969,0.395044646,0.383671402,0.43424671,0.366770757,0.209772969,0.217295432,0.218166772,0.218999333,0.196176774,0.224287936,0.196270531
OCp0017,0.469987974,0.464456129,0.536182105,0.475822048,0.461725516,0.470492728,0.460975242,0.341008053,0.341586628,0.296870986,0.393949807,0.4215809,0.397638359,0.284732077
OCp0018,0.320815139,0.217986006,0.326781958,0.36576344,0.386508844,0.399929868,0.248259777,0.433025267,0.534067302,0.45940073,0.411164746,0.400133658,0.377454507,0.463892255
OCp0019,0.487510266,0.474326704,0.546047851,0.495570708,0.459621573,0.490598654,0.483526582,0.47024415,0.540514033,0.515401624,0.465718149,0.491329389,0.382504618,0.49030827
OCp0021,0.422851238,0.394343355,0.504577454,0.427871569,0.495144049,0.312592386,0.422396656,0.463185196,0.535602694,0.494633809,0.446703411,0.448891742,0.472597621,0.474427989
OCp0022,0.482030703,0.464048712,0.546517976,0.502707915,0.446292744,0.479482502,0.471055429,0.461853316,0.576943679,0.498706565,0.450212786,0.386346659,0.46861339,0.470080778
OCp0023,0.488459283,0.509827224,0.574687105,0.440355875,0.512179367,0.439348228,0.502362483,0.498351939,0.579595634,0.519237582,0.479883337,0.522064814,0.466942357,0.519427361
OCp0024,0.420174327,0.401186818,0.502008658,0.396081511,0.36296307,0.361218556,0.431547744,0.441467038,0.544676861,0.504807046,0.398263085,0.428242333,0.388611644,0.479207769
OCp0025,0.336524879,0.245244266,0.359559103,0.360744826,0.428448587,0.376617142,0.288410873,0.42076331,0.507170173,0.444427008,0.380844097,0.479010347,0.378366997,0.433415316
OCp0026,0.342476624,0.316362532,0.405052375,0.316320265,0.258946378,0.368022199,0.315373976,0.468123963,0.543217659,0.506478637,0.460491663,0.442005116,0.433333717,0.485519491
OCp0027,0.358840322,0.443064561,0.523512306,0.189393043,0.153112391,0.198218648,0.406616542,0.455083616,0.530575627,0.449244525,0.462749874,0.464566101,0.469221882,0.451634281
OCp0028,0.463908766,0.402964081,0.545254771,0.487682262,0.436914993,0.47236926,0.450968252,0.470823009,0.551254798,0.515153398,0.483798452,0.402332908,0.468980023,0.479279616
OCp0029,0.404403083,0.447474672,0.531009552,0.286414526,0.392345773,0.288996749,0.398996402,0.500949027,0.601681817,0.523969251,0.482952395,0.473740217,0.48341901,0.522354484
OCp0030,0.38610039,0.380961848,0.464857595,0.334665677,0.36786812,0.324995516,0.383257851,0.429095472,0.516007207,0.459439394,0.395260184,0.419751487,0.410354261,0.453443968
OCp0031,0.452906665,0.430791789,0.537610862,0.427235805,0.443973874,0.440504196,0.442454977,0.422245131,0.524867072,0.44524406,0.424369736,0.45488756,0.348777371,0.429346982
OCp0032,0.428159196,0.436970583,0.49909444,0.425322208,0.415810278,0.409739363,0.433163809,0.419597652,0.473555738,0.438471201,0.406232114,0.413769911,0.412230835,0.433564789
OCp0033,0.444801753,0.404941994,0.509537916,0.466736201,0.4682906,0.42038988,0.418485,0.393241476,0.409576566,0.401308853,0.433439357,0.473320521,0.378665027,0.367947214
OCp0034,0.481107063,0.479591194,0.555631762,0.484083224,0.484815034,0.433021047,0.479409833,0.391058918,0.487669842,0.389824634,0.391963231,0.452652321,0.365533992,0.368242353
OCp0035,0.448959234,0.402839081,0.519830947,0.458932912,0.507108107,0.376252815,0.427613002,0.498271777,0.591845539,0.520813557,0.484154954,0.468131954,0.481734759,0.524235485
OCp0036,0.430430002,0.403302584,0.500477809,0.441211691,0.430558684,0.413824291,0.41794773,0.44439456,0.551001364,0.489832871,0.428921753,0.429536334,0.393622687,0.46237677
