Subject,rightLang,rightAG,rightATL,rightIFG,rightIFGorb,rightMFG,rightpMTG
OCp0001,0.471888063,0.565338551,0.464916774,0.483174227,0.490698104,0.456344542,0.460347606
OCp0002,0.248325449,0.327831725,0.308973931,0.168572897,0.301856103,0.184992199,0.271471561
OCp0003,0.415435868,0.500326628,0.460337846,0.376977193,0.444618967,0.38006759,0.429859302
OCp0004,0.487490206,0.558757707,0.517719132,0.473627324,0.472724448,0.482420141,0.506756866
OCp0005,0.194089744,0.238810773,0.190786382,0.198836135,0.252005261,0.137440025,0.169203951
OCp0006,0.387261476,0.517441445,0.47538264,0.287958162,0.309131072,0.400153959,0.443904851
OCp0007,0.43639645,0.523795164,0.462802336,0.444280035,0.420715816,0.415706816,0.438771113
OCp0008,0.458069454,0.560354692,0.51278314,0.428709173,0.440337972,0.436868088,0.481574221
OCp0009,0.493399961,0.606088419,0.50108984,0.48229777,0.499359452,0.482436362,0.496954758
OCp0010,0.463751594,0.588589218,0.513079554,0.439574791,0.418123981,0.433931423,0.494683993
OCp0011,0.476229281,0.572851254,0.52152868,0.448569853,0.48736155,0.431242525,0.486068908
OCp0012,0.457217953,0.561970523,0.453265831,0.453481163,0.466649967,0.432461532,0.46324657
OCp0014,0.436608789,0.554284776,0.428668752,0.416759194,0.442815478,0.45101958,0.446195877
OCp0016,0.209991818,0.215426774,0.217609143,0.218943158,0.196091495,0.224619316,0.194833353
OCp0017,0.342139339,0.346848369,0.296544682,0.394297779,0.421630634,0.397824639,0.283564021
OCp0018,0.43305735,0.538597939,0.458874143,0.411281517,0.400106805,0.377693354,0.462739264
OCp0019,0.471383385,0.542334423,0.515650997,0.466315034,0.49089711,0.382879373,0.491858787
OCp0021,0.463810384,0.540771248,0.494794811,0.447247669,0.448455086,0.472304316,0.474486306
OCp0022,0.463397281,0.585002882,0.498330283,0.450908777,0.385918653,0.468964263,0.471041241
OCp0023,0.499185019,0.582048292,0.518465006,0.480580317,0.521547402,0.46737199,0.521001053
OCp0024,0.442395239,0.546304748,0.504519191,0.398533911,0.427797545,0.388541145,0.480886046
OCp0025,0.421088175,0.512226792,0.444202665,0.381659097,0.478750419,0.378340022,0.431814954
OCp0026,0.468561452,0.545605815,0.505636332,0.460960559,0.441385259,0.432969129,0.487214275
OCp0027,0.457070233,0.541058867,0.448316988,0.463177959,0.464391739,0.469484066,0.45422881
OCp0028,0.471682948,0.553137198,0.514992788,0.484126649,0.401938509,0.469360824,0.48005158
OCp0029,0.501797672,0.607979099,0.523293601,0.483302286,0.473616946,0.484285402,0.522561811
OCp0030,0.429470942,0.518998186,0.458926593,0.395935123,0.419786156,0.410034728,0.453909155
OCp0031,0.423052168,0.525447677,0.444795527,0.424818669,0.454375911,0.349151764,0.429388361
OCp0032,0.420591227,0.476402765,0.438743335,0.406847377,0.41305459,0.411939917,0.434616798
OCp0033,0.393454732,0.399795542,0.402008911,0.433864011,0.472758812,0.378702229,0.365434845
OCp0034,0.390642982,0.490865797,0.390146352,0.392628138,0.452162038,0.365532875,0.362078961
OCp0035,0.498962528,0.596960789,0.520077738,0.484642574,0.468233909,0.481941705,0.52433621
OCp0036,0.445374644,0.557398924,0.489514603,0.429533564,0.429101862,0.393722362,0.46302096
