roi_index,roi_name,SubID,groups,r_value,fishZ_r
1,Left_WTPic_Harvord_visual_mask_2mm,1,Patient,-0.149474050328407,-0.15060242337666
1,Left_WTPic_Harvord_visual_mask_2mm,2,Patient,0.0713550510697165,0.0714765248239227
1,Left_WTPic_Harvord_visual_mask_2mm,3,Patient,-0.03719906722788,-0.0372162398131125
1,Left_WTPic_Harvord_visual_mask_2mm,4,Patient,-0.0645880971377268,-0.0646781349896822
1,Left_WTPic_Harvord_visual_mask_2mm,5,Patient,-0.042885113994327,-0.0429114335196533
1,Left_WTPic_Harvord_visual_mask_2mm,6,Patient,-0.155574586267838,-0.156848282114408
1,Left_WTPic_Harvord_visual_mask_2mm,7,Patient,-0.0484859047187308,-0.0485239532974967
1,Left_WTPic_Harvord_visual_mask_2mm,8,Patient,0.139713860148431,0.140633727673544
1,Left_WTPic_Harvord_visual_mask_2mm,9,Patient,-0.00621026826755957,-0.00621034810744005
1,Left_WTPic_Harvord_visual_mask_2mm,10,Patient,0.0257688251450676,0.0257745311964756
1,Left_WTPic_Harvord_visual_mask_2mm,11,Patient,-0.219523818184191,-0.22315576282671
1,Left_WTPic_Harvord_visual_mask_2mm,12,Patient,0.0114665407300054,0.0114670433158613
1,Left_WTPic_Harvord_visual_mask_2mm,13,Patient,-0.0456585409336279,-0.0456903088350924
1,Left_WTPic_Harvord_visual_mask_2mm,14,Patient,-0.0727629620689986,-0.0728917847998954
1,Left_WTPic_Harvord_visual_mask_2mm,15,Patient,0.0802868449673973,0.0804600243132753
1,Left_WTPic_Harvord_visual_mask_2mm,16,Patient,-0.0297386838346387,-0.0297474553476561
1,Left_WTPic_Harvord_visual_mask_2mm,17,Patient,-0.0960691784397688,-0.0963663759445888
1,Left_WTPic_Harvord_visual_mask_2mm,18,Patient,0.0207216514181651,0.0207246180506258
1,Left_WTPic_Harvord_visual_mask_2mm,19,Patient,-0.105607796022545,-0.106003059252039
1,Left_WTPic_Harvord_visual_mask_2mm,20,Patient,0.0133334972076833,0.0133342874445694
1,Left_WTPic_Harvord_visual_mask_2mm,21,Patient,0.0864459334404705,0.0866622380471104
1,Left_WTPic_Harvord_visual_mask_2mm,22,Patient,-0.152123114057673,-0.153313130903576
1,Left_WTPic_Harvord_visual_mask_2mm,23,Patient,-0.165995243568428,-0.167545591065955
1,Left_WTPic_Harvord_visual_mask_2mm,24,Patient,0.0125369940045253,0.0125376509055796
1,Left_WTPic_Harvord_visual_mask_2mm,25,Patient,0.339180402515281,0.353166093462728
1,Left_WTPic_Harvord_visual_mask_2mm,26,Patient,0.0286090534225473,0.028616862550881
1,Left_WTPic_Harvord_visual_mask_2mm,27,Patient,-0.26770925576971,-0.274394594237659
