roi_index,roi_name,SubID,groups,r_value,fishZ_r
1,Left_WTPic_Harvord_visual_mask_2mm,1,Patient,-0.0841264801572091,-0.0843257889693985
1,Left_WTPic_Harvord_visual_mask_2mm,2,Patient,0.145464418752937,0.146503649058553
1,Left_WTPic_Harvord_visual_mask_2mm,3,Patient,0.0351584769479259,0.0351729743830521
1,Left_WTPic_Harvord_visual_mask_2mm,4,Patient,0.226149088892291,0.230127240661399
1,Left_WTPic_Harvord_visual_mask_2mm,5,Patient,0.106702475660236,0.107110215452078
1,Left_WTPic_Harvord_visual_mask_2mm,6,Patient,-0.0774104182242304,-0.0775656005833262
1,Left_WTPic_Harvord_visual_mask_2mm,7,Patient,0.0305446818193622,0.0305541863082659
1,Left_WTPic_Harvord_visual_mask_2mm,8,Patient,0.181080935907713,0.183100044698077
1,Left_WTPic_Harvord_visual_mask_2mm,9,Patient,-0.158109677820034,-0.159447309863508
1,Left_WTPic_Harvord_visual_mask_2mm,10,Patient,0.00828121530786391,0.00828140462016945
1,Left_WTPic_Harvord_visual_mask_2mm,11,Patient,0.0248312612371204,0.0248363667078719
1,Left_WTPic_Harvord_visual_mask_2mm,12,Patient,0.0327844491551117,0.032796202530745
1,Left_WTPic_Harvord_visual_mask_2mm,13,Patient,-0.090155253475149,-0.0904007113600188
1,Left_WTPic_Harvord_visual_mask_2mm,14,Patient,-0.247253540043266,-0.252485390239599
1,Left_WTPic_Harvord_visual_mask_2mm,15,Patient,-0.0983129008844943,-0.098631495921551
1,Left_WTPic_Harvord_visual_mask_2mm,16,Patient,0.134696803871843,0.135520399902924
1,Left_WTPic_Harvord_visual_mask_2mm,17,Patient,0.0110943528360544,0.0110948080512397
1,Left_WTPic_Harvord_visual_mask_2mm,18,Patient,-0.0721017984027422,-0.0722271340521958
1,Left_WTPic_Harvord_visual_mask_2mm,19,Patient,0.119074443355437,0.11964205455723
1,Left_WTPic_Harvord_visual_mask_2mm,20,Patient,-0.126650305096354,-0.127334067532821
1,Left_WTPic_Harvord_visual_mask_2mm,21,Patient,0.162726373070733,0.164185958534316
1,Left_WTPic_Harvord_visual_mask_2mm,22,Patient,-0.0308719396523942,-0.0308817530397743
1,Left_WTPic_Harvord_visual_mask_2mm,23,Patient,0.0962467159709388,0.0965455703707749
1,Left_WTPic_Harvord_visual_mask_2mm,24,Patient,0.321554362714214,0.333379758084188
1,Left_WTPic_Harvord_visual_mask_2mm,25,Patient,0.0800027598691261,0.0801741026842678
1,Left_WTPic_Harvord_visual_mask_2mm,26,Patient,-0.224183213107391,-0.228056371419919
1,Left_WTPic_Harvord_visual_mask_2mm,27,Patient,0.144292366593808,0.14530646822584
1,Left_WTPic_Harvord_visual_mask_2mm,28,Patient,-0.0818437085270901,-0.0820271869309835
1,Left_WTPic_Harvord_visual_mask_2mm,29,Patient,0.122439424578881,0.123056834321735
1,Left_WTPic_Harvord_visual_mask_2mm,30,Patient,0.188812966128239,0.19110596599269
1,Left_WTPic_Harvord_visual_mask_2mm,31,Patient,0.0571759333992655,0.0572383602661439
1,Left_WTPic_Harvord_visual_mask_2mm,32,Patient,-0.142506818329542,-0.143483431525051
1,Left_WTPic_Harvord_visual_mask_2mm,33,Patient,0.111480845573897,0.111946147390205
2,Right_WTPic_Harvord_visual_mask_2mm,1,Patient,0.00113877470067833,0.00113877519293607
2,Right_WTPic_Harvord_visual_mask_2mm,2,Patient,0.172391410042009,0.174130278408859
2,Right_WTPic_Harvord_visual_mask_2mm,3,Patient,0.0542679995306645,0.0543213672352207
2,Right_WTPic_Harvord_visual_mask_2mm,4,Patient,0.175224554315183,0.177051678069089
2,Right_WTPic_Harvord_visual_mask_2mm,5,Patient,0.159628511050162,0.16100547044551
2,Right_WTPic_Harvord_visual_mask_2mm,6,Patient,-0.0391879426054927,-0.0392080213501274
2,Right_WTPic_Harvord_visual_mask_2mm,7,Patient,0.107622191571053,0.108040615932695
2,Right_WTPic_Harvord_visual_mask_2mm,8,Patient,0.17807947110269,0.179998557231496
2,Right_WTPic_Harvord_visual_mask_2mm,9,Patient,-0.0694030239033793,-0.0695147800907549
2,Right_WTPic_Harvord_visual_mask_2mm,10,Patient,0.158322121539064,0.159665208070387
2,Right_WTPic_Harvord_visual_mask_2mm,11,Patient,0.404781306695452,0.429354013133826
2,Right_WTPic_Harvord_visual_mask_2mm,12,Patient,-0.0556184613499541,-0.0556759183255811
2,Right_WTPic_Harvord_visual_mask_2mm,13,Patient,-0.0355466839836095,-0.0355616672138639
2,Right_WTPic_Harvord_visual_mask_2mm,14,Patient,-0.033686974495381,-0.0336997259759444
